,EPISODE,TITLE,AIRED ON,SUMMARY,RATING
14,E15,"Radha and Gopikas, protest against Mathura, Devakasur and Trulambasur Vadh","Sun, Jan 8, 1989","Krishna grows up to an 11-year-old boy. Now he has given up stealing butter; instead he steals the hearts of the young ""Gopinis"". Radha is one such ""Gopini"" who has lost her heart to him.",5.2
15,E16,Kansa invites Krishna to Mathura,"Sun, Jan 15, 1989","Kansa came to know about the true identity of Krishna, and invited him to Mathura by faking his repentance.",5.3
16,E17,Kansa vadh,"Sun, Jan 22, 1989","Krishna departs for Mathura. The residents of Mathura have heard of his divine powers and they pay obeisance. Eventually Krishna faces his uncle, Kans.",5.7
17,E18,Pandu's Death,"Sun, Jan 29, 1989",Shri Krishna releases King Ugrasen and his parents Devki and Vasudev who had been imprisoned by Kans. Pandu dies in the forest and Kunti returns to Hastinapur with her children.,5.2
18,E19,"Satyavati, Ambika, Ambalika take sanyas with Rishi Vyas","Sun, Feb 5, 1989","Before leaving for Tapovan, Satyavati tells Dhritarashtra to look after the Pandavas. Kauravas and the Pandavas grow up together. Shakuni instigates Duryodhan against the Pandavas and rivalry develops between the Kauravas and Pandavas.",5.1
19,E20,Duryodhan Poisons Bhim and Bhim Gets Strength of 1000 Elephants,"Sun, Feb 12, 1989",Rivalry between Duryodhan and Bheem develops. Duryodhan plots to poison Bheem.,5.7
20,E21,Sudama's chivda and Dron arrives to Hastinapur,"Sun, Feb 19, 1989",Kunti forbids Bheem from saying anything about Duryodhan's attempt to kill him. Vidur suspects something and goes to see Bheeshma. Dronacharya is introduced as one of the teachers of Kuru princes.,5.4
21,E22,"Shastra Pooja, Drona insults Karna and Arjun's Test","Sun, Feb 26, 1989","Dronacharya trains princes in the art of archery and other military skills. Arjun gets poised by his teacher, Duryodhan is often advised to control his arrogance. Shakuni rebukes Gandhari for not seeing through the plots of the Pandavas.",6.7
22,E23,"Ekalavya, Karna's Education, Arjun's Test of Bird's Eye","Sun, Mar 5, 1989",Drona trains the Kuru princes in the art of 'Gada Yudh' (Mace fighting). Bheem and Duryodhan specialize in it and exhibit their skills. Drona is specially delighted by Arjun's prowess and he loves him even more than his own son.,7.0
23,E24,Karna Challenges Arjun,"Sun, Mar 12, 1989","Karna and his brothers are grown up. After the Kuru princes have shown their performances, just then Karna arrives and displays his skills in arena. Karna is then crowned the king of Anga by Duryodhana. The coronation of Karna takes place.",7.1
24,E25,Dronacharya Asks for an Honorarium,"Sun, Mar 19, 1989",Drona asks for his gurudakshina in the form of captured King Drupad. Pursuram arrives at the Gurukul and gives Shri Krishna his Sudarshan Chakra. He asks Shri Krishna to lay the foundation of a New Yuga (New Era).,6.2
25,E26,"Krishna gets Sudarshan chakra from Parshuram, defeats Jarasandh and orders building Dwarika",1989,"Krishna advises the King of Mathura, to shift his capital from Mathura to Dwarka. The Heir to the throne of Hastinapur is to be chosen and Duryodhan is staking his claim while Drona, Vidur and the people of Hastinapur favor Yudhishthir.",5.6
26,E27,Yudhishthir Is Crowned as Prince,1989,"The court meets to name the Heir Apparent to the throne of Hastinapur. Jarasandh asks Bheeshmak to invite Shishupal, the Chedi King, to marry his daughter Rukmani and make Shishupal his ally.",5.7
27,E28,Krishna Comes to Rukmini's Rescue,1989,Shri Krishna has received a letter from Rukmani asking him to take her away from Vidarbha before she is married to Shishupal. Krishna goes to Vidarbha.,6.8
28,E29,Lakshagraha Is Built in Varnavar by Purochan,1989,Duryodhan asks Dhritrashtra to send the Pandav brothers to Varnavat to attend a festival. He threatens to commit suicide if Pandav brothers are not sent to Varnavat.,6.0
29,E30,Tunneling in Varnavat Begins,1989,"The Pandavs are suspicious of Duryodhan's eagerness to send Yudhishthir to Varnavat; so they accompany him to Varnavat. Vidur learns that Duryodhan's spies had been collecting wax, oil and other flammable materials in the recent past.",6.4
30,E31,Escape from Lakshagraha,1989,Only three days are left for the house of wax to go up in flames and for Kunti and her five sons to burn to death. Vidur informs Pandas of the evil plan and sends them a miner who helps them dig a tunnel to escape.,5.8
31,E32,Hidimb Vadh and Bhima's marriage,1989,"After escaping from the tragedy, the Pandavas arrive in a forest and rest. Bheem and Arjun want to confront the Kauravas, but Kunti and Yudhishthir decide against it.",5.7
32,E33,Bakasur Vadh,1989,The Pandavas stay in the city of Ekchakra in the guise of Brahmins. Kunti and Pandavas learn of a cruel and terribly strong rakshasa named Bakasur who was harassing the people.,6.4
33,E34,Dristadyumna & Draupadi Birth and Draupadi Swayamvar,1989,Drupad organizes a grand swayamvar for Draupadi and invites all the princes and brahmins.,6.1
34,E35,Arjun Wins Draupadi and Later She Became the Wives of 5 Pandavas,1989,"Without pause or hesitation, Arjun shoots his arrow into the target and wins Draupadi's hand in marriage. Kunti unknowingly asks the five Pandava brothers to share the bride prize.",6.8
35,E36,Pandavas Leave from Panchal to Hastinapur,1989,Duryodhan and Shakuni are furious when they learn that the Pandava brothers are alive and that King Dhritrashtra has sent Vidur to call them back to Hastinapur.,6.6
36,E37,Pandavas Arrives at Hastinapur and Kingdom Is Divided,1989,"The Pandavs return to Hastinapur. Determined to establish peace between the Kauravas and the Pandavas, Bheeshma suggests giving half the Kingdom to Yudhishthir.",5.7
37,E38,Pandav Get Khandavprastha,1989,"The decision to partition the Kingdom of Hastinapur between the Kauravas and Padavas is not liked by the Pandavas, but Krishna consoles them and tells them that Khandavprastha is their Karambhoomi (field of action).",5.7
38,E39,"Coronation of Yudhirsthir, Khandavprastha Becomes Indraprastha",1989,"Ydhishthir knew that the land he was to rule was a barren wasteland, but accepted this injustice because he wanted peace. The Pandavas reach Khandavprastha, and with the help of Krishna and Balram, they renovate the ruined city.",5.9
39,E40,Arjun runs away with Subhadra,1989,"To avoid rivalry among pandavas, they had come to a decision to have Draupadi divide her time equally between the five brothers. Once while helping a Brahmin, Arjun had to violate the rule and had to go on a pilgrimage.",6.1
40,E41,Arjun Weds Subhadra. Arjun Gets Devdatta Conch and Gandiv and Bhim Gets His Gada,1989,"Arjun and Subhadra arrive in Dwarika and are formally married. Arjun, Bheem and Sri Krishna eventually go to Magadh and challenge Jarasandh for a combat. Jarasandh chooses to fight with Bheem.",5.7
41,E42,"Jarasandh Vadh, Rajsuya Yagnya begins, Shishupals Story",1989,Bheem and Jarasandh were so equally matched in strength that they fought for nearly fourteen days without rest.,6.1
42,E43,"Rajsuya Yagya, Shishupal Vadh",1989,"The first honor of Rajsuya Yagna is rendered to Sri Krishna. Shishupal asks, ""When there are so many kings gathered in this assembly, why should the first honor be paid to Krishna - a cowherd boy and the son of a servant of Ugrasena?""",6.6
43,E44,"Vyas Predicts War, Draupadi Laughs at Duryodhan",1989,"Duryodhan walks around Yudhishthir's 'Maya Mahal"" and falls into one of the pools. Draupadi calls him the ""blind son of a blind father."" Duryodhan, Kama and Shakuni plan to avenge Draupadi for her taunting remarks.",5.9
44,E45,Pandavas Go to Hastinapur to Gamble,1989,Dhritarashtra orders Vidur to go to Indraprastha and to invite Yudhishthir to Hastinapur to play dice with Duryodhan. The Pandavs arrive in Hastinapur and pay their respects to the King.,5.6
45,E46,Yudhirshthir Loses Everything in the Gamble,1989,"Duryodhan suggests that Shakuni cast the dice for him. Yudhishthir loses his entire Kingdom, his brothers, himself and Draupadi.",6.3
46,E47,Vastraharan of Draupadi,1989,Duryodhan asks his brother Dushasan to bring Draupadi to the assembly hall. Dushasan drags Draupadi to the hall and tries to disrobe her but a miracle occurs.,7.1
47,E48,Pandavas Get Back Everything,1989,Gandhari warns Dhritarashtra that the attempt to disrobe Draupadi would cause the destruction of his lineage. Dhritarashtra gives everything back to the Pandavs.,6.6
48,E49,Re-match of Dyut,1989,"Duryodhan threatens to wage war against the Pandavs. When Dhritrashtra forbids him from war, Duryodhan secures Dhritrashtra's approval to entice Yudhishthir to another game of dice.",6.5
49,E50,Vanvas Begins,1989,"The departure of the Pandavs upsets Bheeshma, Vidur, Drona and the other elders of the Royal House of Kurus. Vidur advises Dhritrashtra to summon them back. Dhritrashtra rebukes Vidur, so Vidur leaves.",6.5
50,E51,Gandharvas Catch Duryodhan,1989,"Gandharvas attack and capture Duryodhan when he teases their princess, but Bhim and Arjun come to aid.",6.7
51,E52,Arjun Gets the 'Pashupatastra',1989,"After hearing about the Pandav's exile, Krishna goes to visit them. He advises the Pandavs to prepare for war and tells Arjun to do penance to obtain divine weapons.",6.2
52,E53,"Krishna's story of one grain of rice, Bhim meets Ghatotkach and Hanuman, Arjun learns dance from Chitrasen",1989,"Duruvasa and his followers visit Pandavs. Draupadi is worried as her cooking vessel is empty. In Indralok, Lord Indra advises Arjun to learn dance and music from Chitrasen to help him during his 13th year when incognito.",6.1
53,E54,"Arjun gets curse of impotency from Urvashi, Abhimanyus as a kid, Jayadraths head is shaved",1989,"In Indralok, Lord Indra limits Urvashi's curse on Arjun to one year during which he becomes an eunuch.Arjun returns from Indralok armed with divine weapons. He accompanies Bheem while they rescue Draupadi from Jayadrath.",6.4
54,E55,"Story of Poisoned Water and Yaksha, Abhimanyu Is Grown-up",1989,"Jayadrath, Duryodhan's brother-in-law, does penance for kidnapping Draupadi and is rewarded by Lord Shiva. In the forest, the Pandavas plan their 13th year of exile to live incognito and to work in another kingdom.",6.6
55,E56,Agyatvas in Matsya Desh,1989,"Pandavas live incognito and serve King Virat. Yudhishthir becomes Kanak, a courtier. Bheem becomes cook. Nakul and Sahadev look after cattle and horses. Arjun becomes Brihannala, an eunuch. Draupadi becomes Sairandhri, handmaiden to Queen.",6.5
56,E57,"Karna's curse, Draupadi as Maid Sairandhri rejects Keechak",1989,"Karna has assumed the guise of a brahmin and has come a disciple of Parushram. In Virat, Queen Sudeshna's brother Keechak professes his love for Draupadi.",6.9
57,E58,Keechak Vadh by Bheema,1989,"Keechak is mad with lust for Draupadi. Draupadi runs to the Virat court, where Keechak angrily kicks her in the presence of Yudhishthir and Bheem. Draupadi reports the matter to Queen Sudeshna and asks Bheem for protection and revenge.",6.5
58,E59,Kaurav Attack Matsya Desh,1989,The news of Keechak's death reaches Duryodhan. He suspects that Bheem is responsible and decides to invade Virat. King Susarma of Trigarta also invades Virat.,6.3
59,E60,Viraat yudh and clothes for Uttara's dolls,1989,Duryodhan and Karna advance into battle. Arjun attacks the Kaurav army and the Kaurav warriors fall unconscious due to his magical weapons. News arrives from the battlefield and King Virat Virat boasts about the glory of his son Uttar.,6.8
60,E61,Abhimanyu's Marriage and Pandavs Decide to Send a Doot to Hastinapur,1989,"After the wedding of Abhimanyu and Uttara, Krishna, the Pandavas, Virat and others meet in Virat's assembly. They decide to send an emissary to Hastinapur to seek the restoration of Indraprastha.",6.3
61,E62,Dhritarashtra Does Not Agree and Sends Sanjay,1989,"Vidur advises Dhritrashtra to return Indraprastha to the Pandavas. Dhritrashtra refuses to accept the advice. He sends his charioteer Sanjay with a message to Yudhishthir, telling the Pandavs they should spend 12 more years in exile.",6.3
62,E63,Duryodhan gets Narayani Sena from Krishna,1989,"In Hastinapur, everyone is nervous when Sanjay returns from meeting with Yudhishthir and his allies.Duryodhan remains adamant about going to war. Shakuni advises Duryodhan to seek Krishna's help.",6.2
63,E64,Krishna Goes to Hastinapur as Shanti Doot,1989,A war between the Kauravas and the Pandavas looks inevitable but Krishna makes a last attempt for peace. Krishna arrives in Hastinapur.,6.3
64,E65,Krishna took Virat Avtar and Indra takes Karna's kawach kundala,1989,Surya meets Karna and warns him about Indra's deceit. Karna gives away his armour and earrings.,7.3
65,E66,Karn's Identity Is Disclosed,1990,"Krishna's peace mission has failed. Before leaving for Uapplavya, Krishna meets with Karna and tells him to be true to Dharma and not to support sinful Duryodhan.",7.6
66,E67,"Vidur Resigns As A Prime Minister, Kunti Meets Karn",1990,"Vidur submits his resignation to Dhritrashtra.Kunti worries about the battle to be fought between her sons, Karna and the Pandav brothers. She visits Karna and tells him the truth about his birth.",7.1
67,E68,"Sanjay Gets Divya Drishti, Uluk Goes To Pandavs",1990,The stage is set for the Kurukshetra war. Yudhishthir holds a meeting and appoints Dhristadymna as Supreme Commandar of the Pandav army. Vyas visits Dhritrashtra and offers to bestow divine eyesight unto him.,5.8
68,E69,Duryodhan Tricks Shalya To Join Kauravs,1990,All the warriors except Balaram and Rukhmi (Rukmani's brother) move towards the battlefield. Balaram remains neutral and both parties deny Rukhmi's help. Duryodhan tricks Salya into joining the Kaurava army.,5.5
69,E70,Shikhandi's Story,1990,"Shikhandi, who was Amba in a previous life, is anxious for the Kurukshetra war because he wants to fight Bheeshma. Amba swore to take revenge on Bheeshma, so she was reborn as Shikhandi, the elder brother of Draupadi.",6.0
70,E71,"Arjun Worships Devi Durga, Rules Of War Laid",1990,Krishna tells Arjun to seek Goddess Durga's blessings for winning the war. Arjun prays to the Goddess. Krishna drives Arjun to the middle of the battlefield in his chariot.,5.9
71,E72,Krishna Reminds Arjun His Duties,1990,"Arjun refuses to fight and kill his relatives and friends. Krishna advises Arjun to be strong. Krishna's teaching to Arjun at the battlefield form the basis of the ""Bhagawad Gita"" (the Song of God).",6.7
72,E73,Geeta Saar Continues,1990,"On the battlefield, Krishna continues to talk to Arjun about the importance of following duty. He emphasizes the importance of selfless action without the desire to seek a reward for it.",6.9
73,E74,Krishna Reveals His Divine Form,1990,"Unable to satisfy Arjun's hopeless conscience, Krishna grants divine eyesight to Arjun and stuns him with his ""Viraat Roop"" (divine manifestation).",6.8
74,E75,The Kurukshetra War Begins,1990,"After being blessed by the elders, Yudhisthir goes to the middle of the battlefield and announces that anyone who wants to change sides must do so now.",6.5
75,E76,"Uttar Dies, Arjun Faces Bhishma And Day 2 Begins",1990,"During the afternoon of the first day of battle, Abhimanyu attacks grandsire Bheeshma and brings down his chariot's flag.As the battle continues, Drona brings down Shristamyumna's flag and Salya slays Uttar, the prince of Virat.",6.0
76,E77,"Arjun Is Unstoppable, 3rd Day Is Over, 4th Day Begins, Bheem Is Surrounded, 10 Kauravs Are Killed, Krishna Takes Out His Sudarshan",1990,"The Pandava army had fared poorly during the first day of battle. Dhrishtadyumna, the commander-in-chief of the Pandavas, devises strategies to avoid a repetition of the first day.",5.6
77,E78,"9th Day Is Over And 16 Kauravs Are Dead, Bhishma Tells Arjun How To Take Him Out Of The War",1990,Bheeshma tells Pandavas that only a woman could bring his death for he would not raise his hand against a woman. The Pandavas decided to use Shikhandi in their fight against Bheeshma.,6.4
78,E79,Arjun Shoots Arrows at Bhishma,1990,"Due to Shikhandi's presence, Bhishma doesn't retaliate when Arjun shoots arrows at him. Bhishma decides to survive on a bed of arrows till Hastinapur is safe. Karna comes to seek Bhishma's blessings.",6.7
79,E80,Dronacharya Accepts Duryodhan's Plan,1990,The Kaurav warriors sit in council and decide to have Drona capture Yudhisthir alive. Drona agrees to the plan after Duryodhan promises that Yudhisthir would not be sentenced to death after he is captured.,6.5
80,E81,"Chakravyuh Planned, Duryodhan Promises Susharma",1990,"Drona visits Bhishma and says that he has to go before Bhishma and pays his final respects to Bhishma.
Shakuni doubts Drona's loyalty towards the Kauravas. Shakuni is worried if Drona will be able to fulfill his promise to capture Yudhishthir, due to his love for the Pandavas. Drona has been missing from camp and Shakuni believes that he would have gone to meet Pandavas to brief them on his war strategy for the following day.Drona arrives back and says that it is not possible to capture Yudhishthir while Arjun is near him. They decide to find a warrior who can challenge Arjun in battle and lure him far away from Yudhishthir.
The Trigartha Chief Susarma is asked to assist the Kauravas in their plan to capture Yudhishthir by luring Arjun so far away from the battlefield that it will be impossible for him to return before sunset. Susarma agrees to the plan.
Susarma engages Arjun in battle and keeps retreating slowly to draw him away from the battlefield. Bheem warns Arjun against pursuing Susarma as he knows this is Drona's war strategy, but Arjun can't resist the challenge. Arjun leaves Yudhishthir under Bheem's protection. Bheem knows that he can stop the entire Kauravas army, but he cannot stop Drona.Predictably Drona attacks. He engages Bheem, Nakul, and Sahadev in battle, who were protecting Yudhishthir. Drona incapacitated Bheem with his arrows. Nakul and Sahadev are disarmed. Once again, Drona disarms Yudhishthir by breaking all his weapons (his bows, javelins, and swords). Drona moves in to capture Yudhishthir, as the Pandavas have no weapons left to defend themselves. Arjun again returns in time to save Yudhishthir. Soon, it is sunset, and the war ends for the day.That night Duryodhan questions Drona's loyalty openly. He says he sacrificed thousands of soldiers to support Drona's strategy to capture Yudhishthir, yet Drona did not deliver. Duryodhan says that Drona kept on waiting for Arjun to arrive and save Yudhishthir.
Drona says that he would have captured Yudhishthir if Arjun was even further away from the battle.
Drona decides to arrange his forces in a ""Chakra-Vyuha"" (Lotus formation), which is a battle arrangement that only Arjun can penetrate and emerge from. If Arjun is away from the battlefield, the Pandavas will certainly lose the war the following day.
Drona catches a spy that was going to reveal his strategy to Yudhishthir. Drona knows that in the Pandavas army only Krishna and Arjun know how to unravel the Chakra-Vyuha.Drona doesn't know that Abhimanyu knows how to enter the Chakra-Vyuha, but not how to exit it. He was in his mother's womb when Krishna was explaining the battle formation to Subhadra. But she feel asleep mid-way and Abhimanyu could only hear half the explanation.
Abhimanyu asked Krishna several times to tell him the way to exit, but Krishna told him ask Arjun. Abhimanyu never met Arjun properly. So, his knowledge remained incomplete.That night Susarma agrees with Duryodhan to not engage Arjun in a fight, but only to lure him far away from the battle.
He agrees to this cheating only if Duryodhan agrees to free Yudhishthir after capturing him and ending the war.",6.4
81,E82,Abhimanyu Gets Killed,1990,"Abhimanyu enters the 'chakravyuh', where Karna finally defeats and kills Abhimanyu.",7.2
82,E83,Arjun Vows To Kill Jayadrath,1990,Arjun kills Susarma the Trigartha Chief and returns to the Pandava camp. He learns about Abhimanyu's death and discovers that Jayadhrath was the main cause of his son's death. Arjun vows to kill Jayadhrath before sunset the next day.,6.5
83,E84,Arjun Breaks Kamalvyuh To Get To Jaydrath,1990,"On the battlefield Arjun tells Krishna to take his chariot to Jayadhrath. ""There is a wall of Kaurav army between you and Jayadhrath,"" says Krishna. ""I have to break that wall to complete my oath,"" declares Arjun.",6.0
84,E85,Arjun Kills Jayadrath,1990,"Arjun vows to kill Jayadhrath before sunset to avenge the death of his son Abhimanyu. If he is unable to kill Jayadhrath before sunset, Arjun swears he will burn himself to death.",6.6
85,E86,Karna eliminates Ghatotkach,1990,"Bheem and Hidimba's mighty son, Ghatotkach, joins the Pandvas in the battle. Duryodhan realizes that Ghatotkach must be destroyed and encourages Karna to use his ""Shakti"" (divine weapon).",7.2
86,E87,Dronacharya Dies,1990,"Drona spreads fear and destruction in the Pandava army. ""If he were to hear that his son, Ashwathama is dead, he would lose interest in life and throw down his weapons"", says Krishna.",6.8
87,E88,Karna and Arjun Come Face-to-Face,1990,"Bhim kills Dushasan and arrives at Draupadi's chamber with his blood.Karna and Arjun come face-to-face, Karna defeats Arjuna for the fourth time in row and spares him, leaving him unconscious.",6.9
88,E89,Karna Is Killed by Arjun,1990,"Kunti arrives to meet Karna and later shares her dismay with Bhishma. Karna and Arjun fight each other, but Karna's chariot's wheel gets stuck. When he gets down to remove the wheel, Arjun kills him.",6.9
89,E90,Krishna Tricks Duryodhan,1990,"Arjun kills Karna, leaving Duryodhan devastated. Furthermore, Sahdev kills Shakuni while Kunti reveals the truth about Karna to Yudishtir. Gandhari blesses Duryodhan but Krishna tricks him.",5.9
90,E91,Duryodhan's Downfall,"Sun, Jun 3, 1990","The battle between Bheem and Duryodhan begins. The warriors appear equal in strength and skill, but Krishna informs Bheem that Duryodhan could be defeated if he smashes Duryodhan's thighs.",6.7
91,E92,"Duryodhan Dies, Ashwatthama, Krip And Kritvarma Remain, Parikshit's Story","Sun, Jun 10, 1990","Duryodhan commands Ashwathama,new commander-in-chief, to kill the Pandavas. Ashwathama, Kripacharya and Krit Verma arrive at the Pandava camp in the middle of the night as Dhristdyumna and Draupadi's five sons are sleeping.",6.3
92,E93,Dhritarashtra Tries To Kill Bheem,"Sun, Jun 17, 1990","The Kurukshetra war has ended. The Pandavas visit Dhritrashtra who coldly embraces Yudhishthira. Dhritarashtra then moves forward to embrace Bheem, but Krishna tells Bheem to put an iron statue in his place.",6.3
93,E94,King Yudhishthir's Coronation,"Sun, Jun 24, 1990","After the mourning period is over, Krishna leads Yudhishthir to the throne.After the affairs of the state are in order, Krishna takes the Pandava brothers to Bheeshma.",6.9
